video_id,video_title,video_url,channel_name,date_uploaded,is_for_kids,is_age_restricted,df_index,id,avc
LlDBqzSL1MQ,"AUDI Q8, CHEVROLET, VOLVO, MERCEDES, FIRE DEPARTMENT TRANSPORTING WITH MAN TRUCKS! Farming Simulator",https://www.youtube.com/watch?v=LlDBqzSL1MQ,bo GAME,2023-07-26T07:00:22-07:00,False,False,1181,1181,1171
oC6uaVhUOQY,Vertical Mega Ramp Impossible 3D - Car Stunts Tracks Racing 3D - Android GamePlay #2,https://www.youtube.com/watch?v=oC6uaVhUOQY,King Games,2021-09-23T20:00:14-07:00,False,False,1183,1183,1173
CTu-a9klkTI,ARMY SAMURAI vs EVERY GOD - Totally Accurate Battle Simulator TABS,https://www.youtube.com/watch?v=CTu-a9klkTI,BATTLES EVERYDAY,2023-04-15T06:00:14-07:00,False,False,1184,1184,1174
FqGQD-bPPnE,🔥Hot Wheels: Unleashed #6🏁🚗🏙 Basement Gameplay FHD,https://www.youtube.com/watch?v=FqGQD-bPPnE,PawPawGo,2022-12-11T07:07:31-08:00,False,False,1185,1185,1175
sGp15wF2DRM,Mobil vs Chain #8 - BeamNG Drive,https://www.youtube.com/watch?v=sGp15wF2DRM,Tommy Handoko,2022-06-20T06:00:33-07:00,False,False,1186,1186,1176
bq-2_G7RFCM,Mobil vs Bumps #13 - BeamNG Drive,https://www.youtube.com/watch?v=bq-2_G7RFCM,Tommy Handoko,2022-10-21T06:00:33-07:00,False,False,1187,1187,1177
MHImTkFmpxo,Mobil vs Rails #14 - BeamNG Drive,https://www.youtube.com/watch?v=MHImTkFmpxo,Tommy Handoko,2023-04-16T09:00:19-07:00,False,False,1188,1188,1178
y46fYFvQKuE,Mobil vs Log Bridge #3 - BeamNG Drive,https://www.youtube.com/watch?v=y46fYFvQKuE,Tommy Handoko,2021-11-18T05:00:35-08:00,False,False,1189,1189,1179
AE7cGd-ZFwU,Mobil vs Mud #3 - BeamNG Drive,https://www.youtube.com/watch?v=AE7cGd-ZFwU,Tommy Handoko,2022-06-29T06:00:04-07:00,False,False,1190,1190,1180
ucX3iCz7EdI,Hot Wheels Hacks,https://www.youtube.com/watch?v=ucX3iCz7EdI,5MadMovieMakers,2023-08-15T16:29:06-07:00,False,False,1191,1191,1181
aic2C-nCseQ,Extreme Monster Truck Mega Ramp Racing - GT Car Impossible Stunts Driving - Android GamePlay,https://www.youtube.com/watch?v=aic2C-nCseQ,King Games,2023-09-28T20:00:01-07:00,False,False,1192,1192,1182
fL2z5aIb-9I,Realistis mobil melompat berkecepatan tinggi #4 - BeamNG Drive,https://www.youtube.com/watch?v=fL2z5aIb-9I,Tommy Handoko,2023-01-26T05:15:02-08:00,False,False,1193,1193,1183
yzLiHp9VHQU,Mobil vs Chain #7 - BeamNG Drive,https://www.youtube.com/watch?v=yzLiHp9VHQU,Tommy Handoko,2022-05-09T06:00:35-07:00,False,False,1194,1194,1184
4ses9yjPt-k,Mobil vs Mud #5 - BeamNG Drive,https://www.youtube.com/watch?v=4ses9yjPt-k,Tommy Handoko,2022-11-16T05:00:06-08:00,False,False,1195,1195,1185
nV_cO3gP_HY,Cars VS TRAIN Railway Big Crashes  #1 - BeamNg Drive,https://www.youtube.com/watch?v=nV_cO3gP_HY,O Game Channel,2021-10-18T15:00:19-07:00,False,False,1196,1196,1186
