video_id,video_title,video_url,channel_name,date_uploaded,is_for_kids
_uUuO9TTNEI,90 Minutes of Minnie's Bow-Toons! | Compilation | @disneyjunior,https://www.youtube.com/watch?v=_uUuO9TTNEI,Disney Junior,2023-02-19T04:44:56-08:00,True
Mbkfl1A9BsU,Goofasaur! 🦖 | S1 E11 | Full Episode | Mickey Mouse: Mixed-Up Adventures |  @disneyjunior,https://www.youtube.com/watch?v=Mbkfl1A9BsU,Disney Junior,2021-12-13T09:45:01-08:00,True
dvVvm6nGxTI,Bow-Toons Adventures for 30 Minutes! | Compilation Part 1 | Minnie's Bow-Toons  🎀  | @disneyjunior,https://www.youtube.com/watch?v=dvVvm6nGxTI,Disney Junior,2019-12-23T12:45:00-08:00,True
9J8sZn07dL0,Feeding the Bee Friend! | The Fixies | Animation for Kids,https://www.youtube.com/watch?v=9J8sZn07dL0,The Fixies,2023-01-01T08:00:05-08:00,True
UWIxzt1uPUc,Pluto's Puppy-Sitting Adventure | S1 E14 | Full Episode | Mickey Mouse Clubhouse | @disneyjunior  ​,https://www.youtube.com/watch?v=UWIxzt1uPUc,Disney Junior,2021-10-04T09:45:00-07:00,True
cC03A0OgMuA,Mickey Saves Santa 🎅🏻 | S1 E20 | Full Episode | Mickey Mouse Clubhouse | @disneyjunior,https://www.youtube.com/watch?v=cC03A0OgMuA,Disney Junior,2016-12-02T09:04:36-08:00,True
qdtRnSESeaY,Pluto's Best | S1 E16 | Mickey Mouse Clubhouse | Full Episode | @disneyjunior,https://www.youtube.com/watch?v=qdtRnSESeaY,Disney Junior,2021-10-04T09:45:01-07:00,True
GZcmKNDgf8I,Mickey's Color Adventure | S1 E22 | Full Episode | Mickey Mouse Clubhouse |  @disneyjunior   ​,https://www.youtube.com/watch?v=GZcmKNDgf8I,Disney Junior,2021-10-04T09:45:00-07:00,True
n5BDqIDLwdM,Peppa Pig English Episodes üéÉ Peppa Pig's Pumpkin Party,https://www.youtube.com/watch?v=n5BDqIDLwdM,Peppa Pig Asia,2021-01-16T22:00:07-08:00,True
y6Fo4i_pLyc,"Toy Learning Video for Toddlers - Learn Spanish Colors, Shapes, and Numbers with a Birthday Cake!",https://www.youtube.com/watch?v=y6Fo4i_pLyc,Genevieve's Playhouse - Learning Videos for Kids,2020-04-23T11:12:57-07:00,True
65mlsHolR6U,Mila's Other Ride is an Excavator 🚜 | Stories for Kids | Morphle Kids Cartoons,https://www.youtube.com/watch?v=65mlsHolR6U,Morphle - Kids Cartoons,2023-08-19T04:00:04-07:00,True
hTqtGJwsJVE,"Baby Learning With Ms Rachel - First Words, Songs and Nursery Rhymes for Babies - Toddler Videos",https://www.youtube.com/watch?v=hTqtGJwsJVE,Ms Rachel - Toddler Learning Videos,2022-03-02T09:30:10-08:00,True
PcIZGY5fdJg,Donald's Big Balloon Race | S1 E4 | Full Episode | Mickey Mouse Clubhouse | @disneyjunior,https://www.youtube.com/watch?v=PcIZGY5fdJg,Disney Junior,2021-10-04T09:45:01-07:00,True
r804l9p-hFw,Pat a Cake | CoComelon | Nursery Rhymes for Babies,https://www.youtube.com/watch?v=r804l9p-hFw,Nursery Rhymes for Babies - Moonbug Kids,2023-02-24T03:00:45-08:00,True
8uDYO3UURGw,Baa Baa Black Sheep + More popular Nursery Rhymes | Animals Cartoons for Kids | Funny Cartoons,https://www.youtube.com/watch?v=8uDYO3UURGw,Moonbug Kids - Animals for Kids,2023-02-15T00:00:04-08:00,True
vKVSV7q8me0,[BEST] Hogi's Popular Songs 2023 | Learn Colors & Sing Along | Compilation | Pinkfong & Hogi,https://www.youtube.com/watch?v=vKVSV7q8me0,Hogi! Pinkfong - Learn & Play,2023-08-06T05:00:43-07:00,True
UZ-Fk77saEc,Wheels on the Bus Halloween Dress Up Song | CoComelon | Songs and Cartoons | Best Videos for Babies,https://www.youtube.com/watch?v=UZ-Fk77saEc,Moonbug Kids - Baby Time!,2023-10-18T06:00:22-07:00,True
6m5WQ04Zzrs,Hand Washing Song | Cocomelon | Cartoons for Kids | Childerns Show | Fun | Mysteries with Friends,https://www.youtube.com/watch?v=6m5WQ04Zzrs,Moonbug Kids - Mysteries with Friends,2023-08-11T10:03:32-07:00,True
y2XA4yno9LU,Let's Build a Pillow Fort! | Animals for Kids | Animal Cartoons |Funny Cartoons |Learn about Animals,https://www.youtube.com/watch?v=y2XA4yno9LU,Moonbug Kids - Animals for Kids,2023-08-24T00:30:15-07:00,True
XPVpylrxWMY,Masha and the Bear 💥🎬 NEW EPISODE! 🎬💥 Best cartoon collection 🍁 A Ghost Story,https://www.youtube.com/watch?v=XPVpylrxWMY,Masha and The Bear,2020-11-06T01:00:07-08:00,True
Hc3z2eouetY,Halloween in Numberland! 🎃 Number Magic 👻 Counting to 1000000 | Numberblocks,https://www.youtube.com/watch?v=Hc3z2eouetY,Numberblocks,2023-10-29T04:00:13-07:00,True
7i68cD70dEE,"Learn Colors, ABCs and 123 Songs  + More Educational Nursery Rhymes & Kids Songs - CoComelon",https://www.youtube.com/watch?v=7i68cD70dEE,Cocomelon - Nursery Rhymes,2021-05-22T00:00:02-07:00,True
algnovzwymE,"1 Hour Of Animals Being Way, Way, WAY Too Cute! | Animal Videos For Kids | Dodo Kids",https://www.youtube.com/watch?v=algnovzwymE,Dodo Kids,2022-06-30T05:00:01-07:00,True
_-jYXTSzhn4,WALL Art Painting ! Elsa and Anna toddlers - school - Barbie is teacher - colors,https://www.youtube.com/watch?v=_-jYXTSzhn4,Come Play With Me,2020-03-21T07:30:12-07:00,True
IuxonWa8U-8,60 Minutes Of Animals Who Needed A BIG Rescue! | 1 Hour Of Animal Videos | Dodo Kids,https://www.youtube.com/watch?v=IuxonWa8U-8,Dodo Kids,2023-10-29T05:00:19-07:00,True
xm664wTkWog,We Found a SECRET PLAYROOM in our House !!!,https://www.youtube.com/watch?v=xm664wTkWog,Tic Tac Toy,2021-07-16T04:00:35-07:00,True
-5fNPSCED88,Animals Who Love Each Other Like Family | 2 Hrs Of Animal Videos For Kids | Dodo Kids,https://www.youtube.com/watch?v=-5fNPSCED88,Dodo Kids,2020-01-17T09:00:00-08:00,True
