video_id,video_url,video_title,channel_title,channel_id
3rgwIp6D3ow,https://www.youtube.com/watch?v=3rgwIp6D3ow,Algo Me Gusta De Ti (Official Video),WisinYYandelVEVO,UCPypl5EbwJfZzDOT_Ln-_QA
aZla1ttZHaw,https://www.youtube.com/watch?v=aZla1ttZHaw,Lil Dicky  - Freaky Friday feat. Chris Brown (Official Music Video),Lil Dicky,UC8rVJyj4zE0S9-sccMLifIA
e2vBLd5Egnk,https://www.youtube.com/watch?v=e2vBLd5Egnk,Martin Garrix & Dua Lipa - Scared To Be Lonely (Official Video),Martin Garrix,UC5H_KXkPbEsGs0tFt8R35mA
JmcA9LIIXWw,https://www.youtube.com/watch?v=JmcA9LIIXWw,Culture Club - Karma Chameleon (Official Music Video),CultureClubVEVO,UCWGqNXQw31gop5mmpzLMBzg
UrIiLvg58SY,https://www.youtube.com/watch?v=UrIiLvg58SY,Extreme - More Than Words (Official Music Video),ExtremeVEVO,UCvsOSGkyFm-U2k2wSnLBAGg
uSD4vsh1zDA,https://www.youtube.com/watch?v=uSD4vsh1zDA,The Black Eyed Peas - I Gotta Feeling (Official Music Video),BlackEyedPeasVEVO,UCrwmu-gceGOmtZeuTsn7DlQ
8xg3vE8Ie_E,https://www.youtube.com/watch?v=8xg3vE8Ie_E,Taylor Swift - Love Story,TaylorSwiftVEVO,UCANLZYMidaCbLQFWXBC95Jg
TUj0otkJEBo,https://www.youtube.com/watch?v=TUj0otkJEBo,"Ty Dolla $ign - Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) [Official Music Video]",Ty Dolla $ign,UClVY6MdQxTZUaMDL-dLQDcw
t4-Xz_Lt2p4,https://www.youtube.com/watch?v=t4-Xz_Lt2p4,Silva Gunbardhi ft. Mandi ft. Dafi Derti - Te ka lali shpirt  (Official Video HD),ArkivaShqip,UCUd0P7GJ_6UiLcIpfKH9sCQ
F57P9C4SAW4,https://www.youtube.com/watch?v=F57P9C4SAW4,Katy Perry - California Gurls (Official Music Video) ft. Snoop Dogg,KatyPerryVEVO,UC-8Q-hLdECwQmaWNwXitYDw
QZXc39hT8t4,https://www.youtube.com/watch?v=QZXc39hT8t4,"Dr. Dre - The Next Episode (Official Music Video) ft. Snoop Dogg, Kurupt, Nate Dogg",DrDreVEVO,UCx4Lxn5CzeG99X01__YsJpw
9WbCfHutDSE,https://www.youtube.com/watch?v=9WbCfHutDSE,Ariana Grande - Dangerous Woman (Official Video),ArianaGrandeVevo,UC0VOyT2OCBKdQhF3BAbZ-1g
